id,Date/time-south,Temperature[C]-south-glass,Humidity[%rH]-south-glass,Date/time-west,Temperature[C]-west-glass,Humidity[%rH]-west-glass,Date/time-east,Temperature[C]-east-glass,Humidity[%rH]-east-glass,Date/time-north,Temperature[C]-north-glass,Humidity[%rH]-north-glass
46,4/6/2024 8:14:00 AM,42.50,24.00,4/6/2024 8:27:00 AM,42.50,26.30,4/6/2024 8:25:00 AM,26.20,47.00,4/6/2024 8:03:00 AM,31.00,35.50
47,4/6/2024 9:14:00 AM,48.10,17.30,4/6/2024 9:27:00 AM,46.10,21.10,4/6/2024 9:25:00 AM,28.80,42.00,4/6/2024 9:03:00 AM,26.00,47.50
48,4/6/2024 10:14:00 AM,50.80,12.50,4/6/2024 10:27:00 AM,45.40,19.20,4/6/2024 10:25:00 AM,30.20,34.70,4/6/2024 10:03:00 AM,27.40,41.00
49,4/6/2024 11:14:00 AM,49.70,15.90,4/6/2024 11:27:00 AM,33.00,35.80,4/6/2024 11:25:00 AM,29.70,46.00,4/6/2024 11:03:00 AM,28.90,45.20
50,4/6/2024 12:14:00 PM,49.30,12.60,4/6/2024 12:27:00 PM,32.80,24.10,4/6/2024 12:25:00 PM,35.20,23.30,4/6/2024 12:03:00 PM,29.50,29.80
51,4/6/2024 1:14:00 PM,43.50,17.20,4/6/2024 1:27:00 PM,32.90,31.20,4/6/2024 1:25:00 PM,38.00,24.80,4/6/2024 1:03:00 PM,30.30,34.00
52,4/6/2024 2:14:00 PM,35.50,27.20,4/6/2024 2:27:00 PM,33.50,32.10,4/6/2024 2:25:00 PM,40.90,23.80,4/6/2024 2:03:00 PM,30.40,34.40
53,4/6/2024 3:14:00 PM,34.10,28.60,4/6/2024 3:27:00 PM,33.00,34.70,4/6/2024 3:25:00 PM,42.50,22.90,4/6/2024 3:03:00 PM,35.10,29.30
54,4/6/2024 4:14:00 PM,32.20,31.30,4/6/2024 4:27:00 PM,31.60,28.50,4/6/2024 4:25:00 PM,32.10,25.80,4/6/2024 4:03:00 PM,40.60,24.50
55,4/6/2024 5:14:00 PM,29.90,31.30,4/6/2024 5:27:00 PM,30.60,35.70,4/6/2024 5:25:00 PM,29.60,38.80,4/6/2024 5:03:00 PM,39.90,19.10
56,4/6/2024 6:14:00 PM,27.00,47.20,4/6/2024 6:27:00 PM,27.10,48.40,4/6/2024 6:25:00 PM,26.70,54.30,4/6/2024 6:03:00 PM,33.20,35.30
57,4/6/2024 7:14:00 PM,24.10,60.30,4/6/2024 7:27:00 PM,24.30,61.20,4/6/2024 7:25:00 PM,24.80,64.80,4/6/2024 7:03:00 PM,25.10,60.80
58,4/6/2024 8:14:00 PM,23.00,64.10,4/6/2024 8:27:00 PM,23.20,64.30,4/6/2024 8:25:00 PM,24.00,67.80,4/6/2024 8:03:00 PM,23.60,66.70
59,4/6/2024 9:14:00 PM,22.50,67.50,4/6/2024 9:27:00 PM,22.60,66.50,4/6/2024 9:25:00 PM,23.40,66.10,4/6/2024 9:03:00 PM,22.80,68.50
60,4/6/2024 10:14:00 PM,22.40,68.70,4/6/2024 10:27:00 PM,22.10,67.90,4/6/2024 10:25:00 PM,23.10,66.50,4/6/2024 10:03:00 PM,22.10,71.20
61,4/6/2024 11:14:00 PM,22.20,66.80,4/6/2024 11:27:00 PM,21.80,67.00,4/6/2024 11:25:00 PM,22.90,66.10,4/6/2024 11:03:00 PM,21.30,71.10
62,4/7/2024 12:14:00 AM,21.60,69.30,4/7/2024 12:27:00 AM,21.10,68.40,4/7/2024 12:25:00 AM,22.30,66.80,4/7/2024 12:03:00 AM,20.70,72.50
63,4/7/2024 1:14:00 AM,20.80,71.20,4/7/2024 1:27:00 AM,20.30,70.50,4/7/2024 1:25:00 AM,21.40,67.90,4/7/2024 1:03:00 AM,20.10,74.10
64,4/7/2024 2:14:00 AM,19.90,70.50,4/7/2024 2:27:00 AM,19.60,69.20,4/7/2024 2:25:00 AM,20.70,67.60,4/7/2024 2:03:00 AM,19.30,74.40
65,4/7/2024 3:14:00 AM,19.40,69.30,4/7/2024 3:27:00 AM,19.30,69.80,4/7/2024 3:25:00 AM,20.30,66.70,4/7/2024 3:03:00 AM,18.40,75.50
66,4/7/2024 4:14:00 AM,19.10,71.40,4/7/2024 4:27:00 AM,18.80,71.20,4/7/2024 4:25:00 AM,20.10,67.70,4/7/2024 4:03:00 AM,18.00,75.90
67,4/7/2024 5:14:00 AM,18.90,68.90,4/7/2024 5:27:00 AM,18.40,70.60,4/7/2024 5:25:00 AM,19.50,68.30,4/7/2024 5:03:00 AM,17.60,76.40
68,4/7/2024 6:14:00 AM,19.00,67.20,4/7/2024 6:27:00 AM,19.10,68.20,4/7/2024 6:25:00 AM,19.90,63.30,4/7/2024 6:03:00 AM,17.40,75.90
69,4/7/2024 7:14:00 AM,28.40,44.30,4/7/2024 7:27:00 AM,22.30,56.00,4/7/2024 7:25:00 AM,23.00,52.90,4/7/2024 7:03:00 AM,19.30,63.40
70,4/7/2024 8:14:00 AM,44.30,19.20,4/7/2024 8:27:00 AM,44.90,26.80,4/7/2024 8:25:00 AM,27.50,40.30,4/7/2024 8:03:00 AM,29.60,35.90
71,4/7/2024 9:14:00 AM,53.20,13.40,4/7/2024 9:27:00 AM,50.40,16.60,4/7/2024 9:25:00 AM,31.60,26.20,4/7/2024 9:03:00 AM,26.90,36.60
72,4/7/2024 10:14:00 AM,54.10,8.80,4/7/2024 10:27:00 AM,49.20,11.70,4/7/2024 10:25:00 AM,33.80,19.80,4/7/2024 10:03:00 AM,29.00,26.60
73,4/7/2024 11:14:00 AM,50.80,6.90,4/7/2024 11:27:00 AM,37.50,12.60,4/7/2024 11:25:00 AM,35.00,12.30,4/7/2024 11:03:00 AM,33.00,16.00
74,4/7/2024 12:14:00 PM,49.50,9.20,4/7/2024 12:27:00 PM,34.00,20.50,4/7/2024 12:25:00 PM,38.70,16.00,4/7/2024 12:03:00 PM,32.80,21.30
75,4/7/2024 1:14:00 PM,41.90,19.70,4/7/2024 1:27:00 PM,32.40,34.40,4/7/2024 1:25:00 PM,39.80,23.60,4/7/2024 1:03:00 PM,31.10,34.60
76,4/7/2024 2:14:00 PM,36.40,19.00,4/7/2024 2:27:00 PM,33.20,23.30,4/7/2024 2:25:00 PM,43.90,14.20,4/7/2024 2:03:00 PM,31.30,27.50
77,4/7/2024 3:14:00 PM,35.10,19.00,4/7/2024 3:27:00 PM,33.60,20.60,4/7/2024 3:25:00 PM,44.50,12.40,4/7/2024 3:03:00 PM,38.20,17.60
78,4/7/2024 4:14:00 PM,32.20,27.30,4/7/2024 4:27:00 PM,31.50,30.60,4/7/2024 4:25:00 PM,32.20,29.90,4/7/2024 4:03:00 PM,39.60,21.30
79,4/7/2024 5:14:00 PM,30.20,29.00,4/7/2024 5:27:00 PM,30.90,26.40,4/7/2024 5:25:00 PM,29.90,26.80,4/7/2024 5:03:00 PM,40.00,17.00
80,4/7/2024 6:14:00 PM,27.80,34.20,4/7/2024 6:27:00 PM,27.60,39.90,4/7/2024 6:25:00 PM,27.60,40.60,4/7/2024 6:03:00 PM,30.60,29.90
81,4/7/2024 7:14:00 PM,25.70,41.10,4/7/2024 7:27:00 PM,26.00,40.20,4/7/2024 7:25:00 PM,26.10,40.30,4/7/2024 7:03:00 PM,26.30,42.60
82,4/7/2024 8:14:00 PM,24.80,39.20,4/7/2024 8:27:00 PM,25.20,40.00,4/7/2024 8:25:00 PM,25.40,40.00,4/7/2024 8:03:00 PM,25.50,39.70
83,4/7/2024 9:14:00 PM,24.30,40.70,4/7/2024 9:27:00 PM,25.00,40.80,4/7/2024 9:25:00 PM,25.00,41.40,4/7/2024 9:03:00 PM,24.60,40.80
84,4/7/2024 10:14:00 PM,23.70,41.20,4/7/2024 10:27:00 PM,23.90,44.30,4/7/2024 10:25:00 PM,24.50,44.10,4/7/2024 10:03:00 PM,23.80,43.60
85,4/7/2024 11:14:00 PM,23.50,51.40,4/7/2024 11:27:00 PM,23.60,51.10,4/7/2024 11:25:00 PM,24.20,49.10,4/7/2024 11:03:00 PM,23.00,52.20
86,4/8/2024 12:14:00 AM,23.30,50.70,4/8/2024 12:27:00 AM,23.70,51.40,4/8/2024 12:25:00 AM,24.10,51.90,4/8/2024 12:03:00 AM,23.40,53.10
87,4/8/2024 1:14:00 AM,22.80,52.70,4/8/2024 1:27:00 AM,23.10,52.30,4/8/2024 1:25:00 AM,23.60,52.40,4/8/2024 1:03:00 AM,23.10,54.20
88,4/8/2024 2:14:00 AM,22.30,53.60,4/8/2024 2:27:00 AM,22.50,53.60,4/8/2024 2:25:00 AM,23.10,52.40,4/8/2024 2:03:00 AM,22.30,54.90
89,4/8/2024 3:14:00 AM,21.60,54.90,4/8/2024 3:27:00 AM,21.70,54.60,4/8/2024 3:25:00 AM,22.50,53.30,4/8/2024 3:03:00 AM,21.50,57.30
90,4/8/2024 4:14:00 AM,21.20,55.30,4/8/2024 4:27:00 AM,21.40,57.50,4/8/2024 4:25:00 AM,22.00,54.60,4/8/2024 4:03:00 AM,20.80,58.50
91,4/8/2024 5:14:00 AM,20.70,55.20,4/8/2024 5:27:00 AM,20.80,56.60,4/8/2024 5:25:00 AM,21.30,54.30,4/8/2024 5:03:00 AM,20.70,56.80
92,4/8/2024 6:14:00 AM,20.60,55.30,4/8/2024 6:27:00 AM,21.10,55.30,4/8/2024 6:25:00 AM,21.40,54.40,4/8/2024 6:03:00 AM,20.10,57.60
93,4/8/2024 7:14:00 AM,29.60,37.80,4/8/2024 7:27:00 AM,24.80,49.10,4/8/2024 7:25:00 AM,23.90,50.60,4/8/2024 7:03:00 AM,22.10,54.50
94,4/8/2024 8:14:00 AM,44.80,22.00,4/8/2024 8:27:00 AM,40.90,27.80,4/8/2024 8:25:00 AM,27.70,46.10,4/8/2024 8:03:00 AM,32.20,35.50
95,4/8/2024 9:14:00 AM,44.90,18.00,4/8/2024 9:27:00 AM,48.20,17.60,4/8/2024 9:25:00 AM,33.80,27.20,4/8/2024 9:03:00 AM,31.40,35.80
96,4/8/2024 10:14:00 AM,49.20,13.50,4/8/2024 10:27:00 AM,44.10,19.30,4/8/2024 10:25:00 AM,33.00,28.30,4/8/2024 10:03:00 AM,33.70,24.80
97,4/8/2024 11:14:00 AM,51.80,10.30,4/8/2024 11:27:00 AM,38.00,19.10,4/8/2024 11:25:00 AM,35.20,21.40,4/8/2024 11:03:00 AM,33.50,26.10
98,4/8/2024 12:14:00 PM,51.60,8.90,4/8/2024 12:27:00 PM,38.00,18.30,4/8/2024 12:25:00 PM,43.30,15.00,4/8/2024 12:03:00 PM,34.60,17.90
99,4/8/2024 1:14:00 PM,47.10,10.00,4/8/2024 1:27:00 PM,40.00,17.00,4/8/2024 1:25:00 PM,48.50,10.50,4/8/2024 1:03:00 PM,39.30,15.50
100,4/8/2024 2:14:00 PM,43.20,12.10,4/8/2024 2:27:00 PM,39.70,15.80,4/8/2024 2:25:00 PM,41.30,14.10,4/8/2024 2:03:00 PM,41.40,14.00
101,4/8/2024 3:14:00 PM,40.80,15.60,4/8/2024 3:27:00 PM,37.60,18.80,4/8/2024 3:25:00 PM,38.20,17.90,4/8/2024 3:03:00 PM,39.80,17.00
102,4/8/2024 4:14:00 PM,38.40,16.60,4/8/2024 4:27:00 PM,37.50,18.10,4/8/2024 4:25:00 PM,37.20,16.80,4/8/2024 4:03:00 PM,44.00,14.10
103,4/8/2024 5:14:00 PM,35.30,17.70,4/8/2024 5:27:00 PM,34.60,19.70,4/8/2024 5:25:00 PM,34.00,19.20,4/8/2024 5:03:00 PM,35.80,17.60
104,4/8/2024 6:14:00 PM,31.70,22.50,4/8/2024 6:27:00 PM,31.10,24.70,4/8/2024 6:25:00 PM,31.00,26.20,4/8/2024 6:03:00 PM,33.20,21.40
105,4/8/2024 7:14:00 PM,29.20,27.80,4/8/2024 7:27:00 PM,29.20,28.30,4/8/2024 7:25:00 PM,29.40,29.90,4/8/2024 7:03:00 PM,30.50,27.50
106,4/8/2024 8:14:00 PM,28.40,28.10,4/8/2024 8:27:00 PM,28.20,29.70,4/8/2024 8:25:00 PM,28.70,29.80,4/8/2024 8:03:00 PM,28.90,28.00
107,4/8/2024 9:14:00 PM,28.00,31.70,4/8/2024 9:27:00 PM,28.00,34.40,4/8/2024 9:25:00 PM,28.40,36.20,4/8/2024 9:03:00 PM,28.90,31.20
108,4/8/2024 10:14:00 PM,27.10,35.70,4/8/2024 10:27:00 PM,27.80,38.50,4/8/2024 10:25:00 PM,27.70,38.00,4/8/2024 10:03:00 PM,28.10,34.80
109,4/8/2024 11:14:00 PM,27.10,37.50,4/8/2024 11:27:00 PM,27.30,41.80,4/8/2024 11:25:00 PM,27.40,40.60,4/8/2024 11:03:00 PM,27.90,36.30
110,4/9/2024 12:14:00 AM,26.50,47.70,4/9/2024 12:27:00 AM,26.40,46.60,4/9/2024 12:25:00 AM,26.80,48.00,4/9/2024 12:03:00 AM,27.10,47.80
111,4/9/2024 1:14:00 AM,25.70,52.90,4/9/2024 1:27:00 AM,25.70,51.50,4/9/2024 1:25:00 AM,26.10,53.00,4/9/2024 1:03:00 AM,26.20,53.30
112,4/9/2024 2:14:00 AM,25.40,48.60,4/9/2024 2:27:00 AM,25.40,48.40,4/9/2024 2:25:00 AM,25.90,49.40,4/9/2024 2:03:00 AM,25.80,49.50
113,4/9/2024 3:14:00 AM,25.40,45.80,4/9/2024 3:27:00 AM,25.20,46.00,4/9/2024 3:25:00 AM,25.50,46.30,4/9/2024 3:03:00 AM,25.60,48.00
114,4/9/2024 4:14:00 AM,25.10,46.00,4/9/2024 4:27:00 AM,24.90,46.60,4/9/2024 4:25:00 AM,25.30,46.90,4/9/2024 4:03:00 AM,25.20,47.20
115,4/9/2024 5:14:00 AM,25.00,44.90,4/9/2024 5:27:00 AM,25.00,45.40,4/9/2024 5:25:00 AM,25.30,45.80,4/9/2024 5:03:00 AM,25.00,46.80
116,4/9/2024 6:14:00 AM,24.70,46.90,4/9/2024 6:27:00 AM,25.00,47.20,4/9/2024 6:25:00 AM,25.10,48.10,4/9/2024 6:03:00 AM,24.80,47.70
117,4/9/2024 7:14:00 AM,27.30,41.30,4/9/2024 7:27:00 AM,27.90,42.70,4/9/2024 7:25:00 AM,26.40,45.30,4/9/2024 7:03:00 AM,26.30,44.20
118,4/9/2024 8:14:00 AM,31.10,35.20,4/9/2024 8:27:00 AM,31.00,37.70,4/9/2024 8:25:00 AM,29.00,40.50,4/9/2024 8:03:00 AM,29.70,38.20
119,4/9/2024 9:14:00 AM,33.90,30.40,4/9/2024 9:27:00 AM,34.10,33.40,4/9/2024 9:25:00 AM,31.60,35.30,4/9/2024 9:03:00 AM,32.40,33.20
120,4/9/2024 10:14:00 AM,35.80,26.40,4/9/2024 10:27:00 AM,36.20,28.70,4/9/2024 10:25:00 AM,32.90,31.10,4/9/2024 10:03:00 AM,34.60,27.20
121,4/9/2024 11:14:00 AM,37.70,22.40,4/9/2024 11:27:00 AM,36.20,25.40,4/9/2024 11:25:00 AM,33.30,28.10,4/9/2024 11:03:00 AM,34.00,26.00
122,4/9/2024 12:14:00 PM,38.80,21.60,4/9/2024 12:27:00 PM,36.20,26.40,4/9/2024 12:25:00 PM,33.10,29.00,4/9/2024 12:03:00 PM,35.10,25.80
123,4/9/2024 1:14:00 PM,35.50,25.40,4/9/2024 1:27:00 PM,34.50,29.20,4/9/2024 1:25:00 PM,32.00,33.00,4/9/2024 1:03:00 PM,33.80,27.90
124,4/9/2024 2:14:00 PM,34.20,29.40,4/9/2024 2:27:00 PM,34.00,31.50,4/9/2024 2:25:00 PM,31.40,36.60,4/9/2024 2:03:00 PM,32.50,32.70
125,4/9/2024 3:14:00 PM,33.00,32.00,4/9/2024 3:27:00 PM,33.80,32.30,4/9/2024 3:25:00 PM,31.40,36.60,4/9/2024 3:03:00 PM,32.50,34.00
126,4/9/2024 4:14:00 PM,32.30,30.30,4/9/2024 4:27:00 PM,32.00,32.60,4/9/2024 4:25:00 PM,30.70,35.00,4/9/2024 4:03:00 PM,32.10,30.50
127,4/9/2024 5:14:00 PM,31.40,32.10,4/9/2024 5:27:00 PM,30.60,34.30,4/9/2024 5:25:00 PM,29.70,37.00,4/9/2024 5:03:00 PM,31.00,32.80
128,4/9/2024 6:14:00 PM,28.90,39.50,4/9/2024 6:27:00 PM,28.60,40.50,4/9/2024 6:25:00 PM,28.50,44.60,4/9/2024 6:03:00 PM,29.30,39.80
129,4/9/2024 7:14:00 PM,27.60,43.30,4/9/2024 7:27:00 PM,27.50,43.10,4/9/2024 7:25:00 PM,27.70,46.20,4/9/2024 7:03:00 PM,28.10,43.20
130,4/9/2024 8:14:00 PM,27.20,44.90,4/9/2024 8:27:00 PM,27.10,44.00,4/9/2024 8:25:00 PM,27.40,44.80,4/9/2024 8:03:00 PM,27.50,45.00
131,4/9/2024 9:14:00 PM,27.00,44.20,4/9/2024 9:27:00 PM,27.00,44.10,4/9/2024 9:25:00 PM,27.20,44.30,4/9/2024 9:03:00 PM,27.30,43.90
132,4/9/2024 10:14:00 PM,26.70,44.60,4/9/2024 10:27:00 PM,26.60,45.90,4/9/2024 10:25:00 PM,27.10,46.80,4/9/2024 10:03:00 PM,26.50,44.70
133,4/9/2024 11:14:00 PM,26.60,48.60,4/9/2024 11:27:00 PM,26.30,47.90,4/9/2024 11:25:00 PM,26.60,49.30,4/9/2024 11:03:00 PM,26.60,49.40
134,4/10/2024 12:14:00 AM,26.40,47.90,4/10/2024 12:27:00 AM,26.20,47.90,4/10/2024 12:25:00 AM,26.50,48.50,4/10/2024 12:03:00 AM,26.20,48.60
135,4/10/2024 1:14:00 AM,26.00,49.30,4/10/2024 1:27:00 AM,25.90,49.30,4/10/2024 1:25:00 AM,26.00,49.80,4/10/2024 1:03:00 AM,26.10,49.20
136,4/10/2024 2:14:00 AM,25.50,50.60,4/10/2024 2:27:00 AM,25.30,49.90,4/10/2024 2:25:00 AM,25.60,50.10,4/10/2024 2:03:00 AM,25.50,50.60
137,4/10/2024 3:14:00 AM,25.40,49.10,4/10/2024 3:27:00 AM,25.40,49.60,4/10/2024 3:25:00 AM,25.70,49.00,4/10/2024 3:03:00 AM,25.10,50.70
138,4/10/2024 4:14:00 AM,25.20,49.70,4/10/2024 4:27:00 AM,24.80,50.60,4/10/2024 4:25:00 AM,25.20,51.20,4/10/2024 4:03:00 AM,25.10,50.50
139,4/10/2024 5:14:00 AM,24.60,52.20,4/10/2024 5:27:00 AM,24.60,52.80,4/10/2024 5:25:00 AM,25.10,52.10,4/10/2024 5:03:00 AM,24.50,52.40
